HS부호,한글품목명,영문품목명,성질통합분류코드,성질통합분류코드명
2921519010,오르토-페닐렌 디아민,o-phenylene diamine,25030201,유기화합물
2921519020,메타-페닐렌 디아민,m-phenylene diamine,25030201,유기화합물
2921519030,파라-페닐렌 디아민,p-phenylene diamine,25030201,유기화합물
2921519040,디아미노톨루엔,Diaminotoluenes,25030201,유기화합물
2921519090,기타,Other,25030201,유기화합물
2921592000,"4,4´디아미노스틸벤-2,2´-디술폰산과 그 염","4,4'diaminostilbene-2,2'-disulfonic acid and its salts",25030201,유기화합물
2921599000,기타,Other,25030201,유기화합물
2922111000,모노에탄올아민,Monoethanolamine,25030201,유기화합물
2922112000,모노에탄올아민의 염,Salts of monoethanolamine,25030201,유기화합물
2922121000,디에탄올아민,Diethanolamine,25030201,유기화합물
2922122000,디에탄올아민의 염,Salts of diethanolamine,25030201,유기화합물
2922140000,덱스트로프로폭시펜(INN)과 그 염,Dextropropoxyphene (INN) and its salts,25030201,유기화합물
2922150000,트리에탄올아민,Triethanolamine,25030201,유기화합물
2922160000,과불화옥탄 술폰산 디에탄올암모늄,Diethanolammonium perfluorooctane sulphonate,25030201,유기화합물
2922171000,메틸디에탄올아민,Methyldiethanolamine,25030201,유기화합물
2922172000,에틸디에탄올아민,Ethyldiethanolamine,25030201,유기화합물
2922180000,"2-(엔,엔-디이소프로필아미노)에탄올","2-(N,N-Diisopropylamino)ethanol",25030201,유기화합물
2922193000,"엔,엔-디알킬(메틸, 에틸, 노르말-프로필 또는 이소프로필)2-아미노에탄올과 이들의 수소화된 염들","N,N-Dialkyl(methyl, ethyl, n-propyl or isopropyl)2-aminoethanols and their protonated salts",25030201,유기화합물
2922199000,기타,Other,25030201,유기화합물
2922211000,7-아미노-1-나프톨-3-술폰산(감마 에시드)과 그 염,7-amino-1-naphthol-3-sulphonic acid (gamma acid) and its salts,25030201,유기화합물
2922212000,"8-아미노-1-나프톨-3, 6-디술폰산(에이치 에시드)과 그 염","8-amino-1-naphthol-3, 6-disulphonic acid (H acid) and its salts",25030201,유기화합물
2922213000,2-아미노-5-나프톨-7-디술폰산(제이 에시드)과 그 염,2-amino-5-naphthol-7-disulphonic acid (J acid) and its salts,25030201,유기화합물
2922219000,기타,Other,25030201,유기화합물
2922292000,메타-아미노페놀,Meta-aminophenol,25030201,유기화합물
2922293000,페네티딘과 이들의 염,Phenetidines and their salts,25030201,유기화합물
2922299000,기타,Other,25030201,유기화합물
2922310000,암페프라몬(INN)ㆍ메타돈(INN)ㆍ노르메타돈(INN)과 이들의 염,"Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof",25030201,유기화합물
2922393000,아미노 안트라퀴논의 유도체,Derivatives of amino anthraquinons ,25030201,유기화합물
2922399000,기타,Other,25030201,유기화합물
2922411000,리신,Lysine,25030201,유기화합물
2922412000,리신의 에스테르,Esters of lysine,25030201,유기화합물
2922413000,리신의 염과 리신에스테르의 염,Salts of lysine and its esters,25030201,유기화합물
2922421000,글루탐산,Glutamic acid,25030201,유기화합물
2922422000,글루탐산 나트륨,Sodium glutamate,25030201,유기화합물
2922423000,그 밖의 글루탐산의 염,Other salts of glutamic acid,25030201,유기화합물
2922430000,안트라닐산과 그 염,Anthranilic acid and its salts,25030201,유기화합물
2922440000,틸리딘(INN)과 그 염,Tilidine (INN) and its salts,25030201,유기화합물
2922491000,글리신,Glycine,25030201,유기화합물
2922492000,알라닌,Alanine,25030201,유기화합물
2922493000,류우신,Leucine,25030201,유기화합물
2922494000,바린,Valine,25030201,유기화합물
2922497000,에틸파라아미노 벤조에이트,Ethyl para amino benzoate,25030201,유기화합물
2922499000,기타,Other,25030201,유기화합물
2922505000,농약원제(農藥原劑)(?농약관리법?에 따라 등록된 것으로 한정한다),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),25020501,농약
2922506000,세린,Serine,25030201,유기화합물
2922509000,기타,Other,25030201,유기화합물
2923101000,콜린,Choline,25030201,유기화합물
2923102000,콜린의 염,Salts of choline,25030201,유기화합물
2923201000,레시틴,Lecithins,25030201,유기화합물
2923202000,그 밖의 포스포아미노리피드,Other phosphoaminolipids,25030201,유기화합물
2923300000,과불화옥탄 술폰산 테트라에틸암모늄,Tetraethylammonium perfluorooctane sulphonate,25030201,유기화합물
2923400000,과불화옥탄 술폰산 디데실디메틸암모늄,Didecyldimethylammonium perfluorooctane sulphonate,25030201,유기화합물
2923900000,기타,Other,25030201,유기화합물
2924110000,메프로바메이트(INN),Meprobamate (INN),25030201,유기화합물
2924120000,"플루오로아세트아미드(ISO), 모노크로토포스(ISO), 포스파미돈(ISO)","Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",25030201,유기화합물
2924191000,디메틸포름아미드,Dimethylformamide,25030201,유기화합물
